match_id,team_1,team_2,batting_team,bowling_team,ball,batsman,bowler,runs,player_dismissed,city,venue,Date,toss_winner,toss_decision,match_winner,player_of_the_match,current_score,over,ball_no,balls_bowled,balls_left,wickets_left,crr,last_five,run_rate,wickets_rate,pressure_factor,toss_winner_wins,max_tempC,min_tempC,sun_hour,interaction_score_temp,performance_under_pressure,toss_decision_impact
33,Afghanistan,England,England,Afghanistan,0.1,C Kieswetter,Shapoor Zadran,0,0,Colombo,R Premadasa Stadium,2012-09-21,Afghanistan,field,England,LJ_Wright,0,0,1,1,119,10,0.0,0.0,0.0,60.0,0.0,0,30.0,26.0,8.0,0.0,0.0,0
33,Afghanistan,England,England,Afghanistan,0.2,C Kieswetter,Shapoor Zadran,0,0,Colombo,R Premadasa Stadium,2012-09-21,Afghanistan,field,England,LJ_Wright,0,0,2,2,118,10,0.0,0.0,0.0,30.0,0.0,0,30.0,26.0,8.0,0.0,0.0,0
33,Afghanistan,England,England,Afghanistan,0.3,C Kieswetter,Shapoor Zadran,0,0,Colombo,R Premadasa Stadium,2012-09-21,Afghanistan,field,England,LJ_Wright,0,0,3,3,117,10,0.0,0.0,0.0,20.0,0.0,0,30.0,26.0,8.0,0.0,0.0,0
33,Afghanistan,England,England,Afghanistan,0.4,C Kieswetter,Shapoor Zadran,0,0,Colombo,R Premadasa Stadium,2012-09-21,Afghanistan,field,England,LJ_Wright,0,0,4,4,116,10,0.0,0.0,0.0,15.0,0.0,0,30.0,26.0,8.0,0.0,0.0,0
33,Afghanistan,England,England,Afghanistan,0.5,C Kieswetter,Shapoor Zadran,0,0,Colombo,R Premadasa Stadium,2012-09-21,Afghanistan,field,England,LJ_Wright,0,0,5,5,115,10,0.0,0.0,0.0,12.0,0.0,0,30.0,26.0,8.0,0.0,0.0,0
33,Afghanistan,England,England,Afghanistan,0.6,C Kieswetter,Shapoor Zadran,0,1,Colombo,R Premadasa Stadium,2012-09-21,Afghanistan,field,England,LJ_Wright,0,0,6,6,114,9,0.0,0.0,0.0,9.0,0.0,0,30.0,26.0,8.0,0.0,0.0,0
33,Afghanistan,England,England,Afghanistan,1.1,AD Hales,Dawlat Zadran,4,1,Colombo,R Premadasa Stadium,2012-09-21,Afghanistan,field,England,LJ_Wright,4,1,1,7,113,9,3.4285714285714284,0.0,3.4285714285714284,7.714285714285715,0.0,0,30.0,26.0,8.0,120.0,0.0,0
33,Afghanistan,England,England,Afghanistan,1.2,AD Hales,Dawlat Zadran,0,1,Colombo,R Premadasa Stadium,2012-09-21,Afghanistan,field,England,LJ_Wright,4,1,2,8,112,9,3.0,0.0,3.0,6.75,0.0,0,30.0,26.0,8.0,120.0,0.0,0
33,Afghanistan,England,England,Afghanistan,1.3,AD Hales,Dawlat Zadran,0,1,Colombo,R Premadasa Stadium,2012-09-21,Afghanistan,field,England,LJ_Wright,4,1,3,9,111,9,2.6666666666666665,0.0,2.6666666666666665,6.0,0.0,0,30.0,26.0,8.0,120.0,0.0,0
33,Afghanistan,England,England,Afghanistan,1.4,AD Hales,Dawlat Zadran,1,1,Colombo,R Premadasa Stadium,2012-09-21,Afghanistan,field,England,LJ_Wright,5,1,4,10,110,9,3.0,0.0,3.0,5.4,0.0,0,30.0,26.0,8.0,150.0,0.0,0
